Date,Sentiment Score,Open,High,Low,Close,Volume,RSI,MACD,MACD Signal,Forward PE,T5YIE,FEDFUNDS,SP500,EUR=X,XLF,Next Day High
2018-06-19,1.8000603e-05,106.9000015258789,107.87999725341795,106.5999984741211,107.5500030517578,12707200.0,43.10917962477596,-0.741638333267602,-0.56210779040602,9.972146,2.07,1.0,2762.59,0.859790027141571,27.350000381469727,108.63999938964844
2018-06-20,-3.0994415e-06,108.18000030517578,108.63999938964844,107.44000244140624,107.54000091552734,8876900.0,43.07237885839794,-0.8090385153195996,-0.6114939353887359,9.972146,2.06,1.0,2767.32,0.8629199862480164,27.280000686645508,108.20999908447266
2018-06-21,0.0,107.0999984741211,108.20999908447266,106.52999877929688,107.51000213623048,11048700.0,42.9539423391372,-0.855018178633955,-0.6601987840377797,9.972146,2.05,1.0,2749.76,0.8636299967765808,27.200000762939453,108.37000274658205
2018-06-22,0.0,108.16000366210938,108.37000274658205,105.51000213623048,105.75,19478900.0,36.59602361575022,-1.0216973652760115,-0.7324985002854261,9.972146,2.07,1.0,2754.88,0.8616399765014648,27.06999969482422,108.37000274658205
2018-06-23,0.0,108.16000366210938,108.37000274658205,105.51000213623048,105.75,19478900.0,36.59602361575022,-1.0216973652760115,-0.7324985002854261,9.972146,2.07,1.0,2754.88,0.8616399765014648,27.06999969482422,108.37000274658205
2018-06-24,-0.0013898015,108.16000366210938,108.37000274658205,105.51000213623048,105.75,19478900.0,36.59602361575022,-1.0216973652760115,-0.7324985002854261,9.972146,2.07,1.0,2754.88,0.8616399765014648,27.06999969482422,105.6999969482422
2018-06-25,0.0,105.66000366210938,105.6999969482422,103.95999908447266,104.79000091552734,16907600.0,33.66863884984031,-1.2172243203492172,-0.8294436642981843,9.972146,2.06,1.0,2717.07,0.8575299978256226,26.780000686645508,105.20999908447266
2018-06-26,9.536743e-06,104.70999908447266,105.20999908447266,103.11000061035156,104.86000061035156,17086800.0,34.08269132744347,-1.3509594312000957,-0.9337468176785666,9.972146,2.07,1.0,2723.06,0.8544999957084656,26.690000534057617,105.91999816894533
2018-06-27,0.0,104.68000030517578,105.91999816894533,103.2300033569336,103.23999786376952,16276800.0,29.49413168619791,-1.5695730912100316,-1.0609120723848595,9.972146,2.07,1.0,2699.63,0.8583499789237976,26.36000061035156,105.45999908447266
2018-06-28,7.1525574e-06,103.68000030517578,105.45999908447266,103.51000213623048,104.93000030517578,14491300.0,38.75718027776379,-1.5881497173596557,-1.1663596013798188,9.972146,2.07,1.0,2716.31,0.8647800087928772,26.59000015258789,106.9000015258789
2018-06-29,0.0,106.68000030517578,106.9000015258789,104.1500015258789,104.1999969482422,18972400.0,36.52494263307834,-1.642839367832153,-1.2616555546702857,9.972146,2.06,1.0,2718.37,0.8648300170898438,26.59000015258789,106.9000015258789
2018-06-30,0.0,106.68000030517578,106.9000015258789,104.1500015258789,104.1999969482422,18972400.0,36.52494263307834,-1.642839367832153,-1.2616555546702857,9.972146,2.06,1.0,2718.37,0.8648300170898438,26.59000015258789,106.9000015258789
2018-07-01,0.0,106.68000030517578,106.9000015258789,104.1500015258789,104.1999969482422,18972400.0,36.52494263307834,-1.642839367832153,-1.2616555546702857,9.972146,2.06,1.91,2718.37,0.8648300170898438,26.59000015258789,105.08999633789062
2018-07-02,-4.9471855e-06,103.72000122070312,105.08999633789062,103.37999725341795,105.08000183105467,11130000.0,40.94085378804481,-1.5967657487149438,-1.3286775934792172,9.972146,2.07,1.91,2726.71,0.8562700152397156,26.71999931335449,105.77999877929688
2018-07-03,0.0,105.41000366210938,105.77999877929688,103.5199966430664,103.61000061035156,8311700.0,36.38698424824051,-1.6597364778534,-1.3948893703540537,9.972146,2.08,1.91,2713.22,0.8589500188827515,26.479999542236328,105.77999877929688
2018-07-04,1.40070915e-05,105.41000366210938,105.77999877929688,103.5199966430664,103.61000061035156,8311700.0,36.38698424824051,-1.6597364778534,-1.3948893703540537,9.972146,2.08,1.91,2713.22,0.8576899766921997,26.479999542236328,104.37999725341795
2018-07-05,-0.0013898015,104.12999725341795,104.37999725341795,103.52999877929688,103.72000122070312,10723400.0,36.95212448510743,-1.6813831659212468,-1.4521881294674923,9.972146,2.1,1.91,2736.61,0.8574600219726562,26.540000915527344,104.5
2018-07-06,0.0,103.12000274658205,104.5,102.1999969482422,104.05999755859376,12173700.0,38.76299749673864,-1.652059545106539,-1.4921624125953017,9.972146,2.08,1.91,2759.82,0.8550000190734863,26.670000076293945,104.5
2018-07-07,-7.748604e-07,103.12000274658205,104.5,102.1999969482422,104.05999755859376,12173700.0,38.76299749673864,-1.652059545106539,-1.4921624125953017,9.972146,2.08,1.91,2759.82,0.8550000190734863,26.670000076293945,104.5
2018-07-08,-2.2649765e-06,103.12000274658205,104.5,102.1999969482422,104.05999755859376,12173700.0,38.76299749673864,-1.652059545106539,-1.4921624125953017,9.972146,2.08,1.91,2759.82,0.8550000190734863,26.670000076293945,107.45999908447266
2018-07-09,0.0,104.70999908447266,107.45999908447266,104.70999908447266,107.27999877929688,13900800.0,52.63753010451862,-1.3533921146673435,-1.46440835300971,9.972146,2.1,1.91,2784.17,0.8508999943733215,27.280000686645508,108.4000015258789
2018-07-10,0.0,108.0199966430664,108.4000015258789,106.52999877929688,106.62000274658205,14575900.0,50.13040710365514,-1.1566193998142469,-1.4028505623706171,9.972146,2.09,1.91,2793.84,0.8505600094795227,27.18000030517578,107.05999755859376
2018-07-11,1.3411045e-05,106.30999755859376,107.05999755859376,106.20999908447266,106.38999938964844,10186500.0,49.250039097939975,-1.0076197411541017,-1.3238043981273142,9.972146,2.07,1.91,2774.02,0.8527299761772156,27.049999237060547,107.55999755859376
2018-07-12,1.0848045e-05,107.41999816894533,107.55999755859376,105.97000122070312,106.8499984741211,12456800.0,51.09965856264612,-0.8427041871330374,-1.227584355928459,9.972146,2.06,1.91,2798.29,0.8564000129699707,27.100000381469727,107.8000030517578
2018-07-13,0.0,107.3000030517578,107.8000030517578,105.13999938964844,106.36000061035156,21289100.0,49.04897561800158,-0.7429815263957806,-1.1306637900219232,9.972146,2.07,1.91,2801.31,0.857200026512146,26.979999542236328,107.8000030517578
2018-07-14,0.0,107.3000030517578,107.8000030517578,105.13999938964844,106.36000061035156,21289100.0,49.04897561800158,-0.7429815263957806,-1.1306637900219232,9.972146,2.07,1.91,2801.31,0.857200026512146,26.979999542236328,107.8000030517578
2018-07-15,-9.4771385e-06,107.3000030517578,107.8000030517578,105.13999938964844,106.36000061035156,21289100.0,49.04897561800158,-0.7429815263957806,-1.1306637900219232,9.972146,2.07,1.91,2801.31,0.857200026512146,26.979999542236328,110.7699966430664
2018-07-16,6.020069e-06,107.0500030517578,110.7699966430664,106.9800033569336,110.58000183105467,24662600.0,62.86926508855657,-0.3197459366863313,-0.9684802193548048,9.972146,2.05,1.91,2798.43,0.8562300205230713,27.459999084472656,110.93000030517578
2018-07-17,1.2636185e-05,110.69000244140624,110.93000030517578,109.75,110.5,14821900.0,62.52302588385338,0.0091108144456057,-0.7729620125947226,9.972146,2.03,1.91,2809.55,0.8540099859237671,27.489999771118164,112.12000274658205
2018-07-18,2.0861626e-05,110.41999816894533,112.12000274658205,110.1999969482422,111.52999877929688,14244900.0,65.18171012148093,0.348823433031967,-0.5486049234693846,9.972146,2.03,1.91,2815.62,0.8581299781799316,27.93000030517578,111.08999633789062
2018-07-19,0.0,111.05999755859376,111.08999633789062,109.7300033569336,109.88999938964844,16775300.0,58.11260781828026,0.4801786850803182,-0.342848201759444,9.972146,2.01,1.91,2804.49,0.8586900234222412,27.51000022888184,111.73999786376952
2018-07-20,0.0,110.0,111.73999786376952,109.77999877929688,111.27999877929688,13578100.0,61.88557869533556,0.6885033645194198,-0.1365778885036712,9.972146,2.02,1.91,2801.83,0.857990026473999,27.559999465942383,111.73999786376952
2018-07-21,0.0,110.0,111.73999786376952,109.77999877929688,111.27999877929688,13578100.0,61.88557869533556,0.6885033645194198,-0.1365778885036712,9.972146,2.02,1.91,2801.83,0.857990026473999,27.559999465942383,111.73999786376952
2018-07-22,0.0,110.0,111.73999786376952,109.77999877929688,111.27999877929688,13578100.0,61.88557869533556,0.6885033645194198,-0.1365778885036712,9.972146,2.02,1.91,2801.83,0.857990026473999,27.559999465942383,114.23999786376952
2018-07-23,0.0,111.05999755859376,114.23999786376952,110.93000030517578,113.3499984741211,18140000.0,66.69652042330414,1.009002694555761,0.0925382281082152,9.972146,2.01,1.91,2806.98,0.8516499996185303,27.940000534057617,114.77999877929688
2018-07-24,0.0,113.5500030517578,114.77999877929688,113.41999816894533,114.1500015258789,14000400.0,68.3587843225276,1.3124254593164295,0.3365156743498581,9.972146,2.0,1.91,2820.4,0.8551300168037415,28.020000457763672,115.5199966430664
2018-07-25,1.0192394e-05,113.87999725341795,115.5199966430664,113.37999725341795,115.18000030517578,13329100.0,70.40679454776362,1.6173585769580967,0.5926842548715059,9.972146,2.01,1.91,2846.07,0.8557599782943726,28.07999992370605,115.58999633789062
2018-07-26,0.0,115.41999816894533,115.58999633789062,114.58000183105467,114.8499984741211,11897800.0,68.86876188710276,1.811509921043836,0.8364493881059719,9.972146,2.0,1.91,2837.44,0.8519700169563293,28.06999969482422,116.3000030517578
2018-07-27,2.0384789e-05,115.18000030517578,116.3000030517578,114.80999755859376,116.02999877929688,12802700.0,71.28433566783399,2.037109888235648,1.0765814881319071,9.972146,2.0,1.91,2818.82,0.8588899970054626,28.1299991607666,116.3000030517578
2018-07-28,-1.859665e-05,115.18000030517578,116.3000030517578,114.80999755859376,116.02999877929688,12802700.0,71.28433566783399,2.037109888235648,1.0765814881319071,9.972146,2.0,1.91,2818.82,0.8588899970054626,28.1299991607666,116.3000030517578
2018-07-29,0.0,115.18000030517578,116.3000030517578,114.80999755859376,116.02999877929688,12802700.0,71.28433566783399,2.037109888235648,1.0765814881319071,9.972146,2.0,1.91,2818.82,0.8588899970054626,28.1299991607666,117.61000061035156
2018-07-30,-1.3768673e-05,116.27999877929688,117.61000061035156,116.05999755859376,116.7300033569336,13411600.0,72.64056901420399,2.246487892790171,1.31056276906356,9.972146,2.01,1.91,2802.6,0.8575999736785889,28.14999961853028,117.08000183105467
2018-07-31,0.0,117.08000183105467,117.08000183105467,114.81999969482422,114.9499969482422,15843800.0,64.32146003598477,2.2429346740949256,1.4970371500698332,9.972146,2.0,1.91,2816.29,0.8541600108146667,27.950000762939453,116.69000244140624
2018-08-01,0.0,115.75,116.69000244140624,115.27999877929688,115.66000366210938,13531600.0,65.99437516262421,2.2712290164046465,1.651875523336796,9.972146,2.0,1.91,2813.36,0.855459988117218,27.950000762939453,116.25
2018-08-02,0.0,114.56999969482422,116.25,114.33000183105467,116.1500015258789,11058100.0,67.13951167382677,2.306602145336555,1.7828208477367478,9.972146,1.99,1.91,2827.22,0.857200026512146,27.959999084472656,117.12999725341795
2018-08-03,0.0,116.0,117.12999725341795,115.94000244140624,117.08999633789062,11016100.0,69.27691866959263,2.3830154120352915,1.9028597605964568,9.972146,2.0,1.91,2840.35,0.8631100058555603,28.1200008392334,117.12999725341795
2018-08-04,0.0,116.0,117.12999725341795,115.94000244140624,117.08999633789062,11016100.0,69.27691866959263,2.3830154120352915,1.9028597605964568,9.972146,2.0,1.91,2840.35,0.8631100058555603,28.1200008392334,117.12999725341795
2018-08-05,1.692772e-05,116.0,117.12999725341795,115.94000244140624,117.08999633789062,11016100.0,69.27691866959263,2.3830154120352915,1.9028597605964568,9.972146,2.0,1.91,2840.35,0.8631100058555603,28.1200008392334,117.52999877929688
2018-08-06,0.0,116.79000091552734,117.52999877929688,116.18000030517578,117.12000274658205,9857400.0,69.34546452487761,2.418120158865406,2.0059118402502465,9.972146,1.98,1.91,2850.4,0.8648800253868103,28.270000457763672,118.29000091552734
2018-08-07,0.0,117.73999786376952,118.29000091552734,117.33000183105467,117.5500030517578,10562100.0,70.36581380300298,2.4523689716509978,2.095203266530397,9.972146,2.0,1.91,2858.45,0.8651999831199646,28.39999961853028,118.2699966430664
2018-08-08,2.6106834e-05,117.33000183105467,118.2699966430664,117.27999877929688,117.79000091552734,8997100.0,70.94706968427873,2.4703999910668983,2.170242611437697,9.972146,1.98,1.91,2857.7,0.8618500232696533,28.46999931335449,117.72000122070312
2018-08-09,-0.0013898015,117.51000213623048,117.72000122070312,116.6999969482422,116.87999725341795,9694200.0,65.68607218344803,2.383781266953065,2.2129503425407706,9.972146,1.97,1.91,2853.58,0.861270010471344,28.299999237060547,115.9499969482422
2018-08-10,0.0,115.5,115.9499969482422,114.68000030517578,115.7300033569336,12630600.0,59.664791921769954,2.1970145908827448,2.2097631922091656,9.972146,1.98,1.91,2833.28,0.8677600026130676,27.96999931335449,115.9499969482422
2018-08-11,0.0,115.5,115.9499969482422,114.68000030517578,115.7300033569336,12630600.0,59.664791921769954,2.1970145908827448,2.2097631922091656,9.972146,1.98,1.91,2833.28,0.8677600026130676,27.96999931335449,115.9499969482422
2018-08-12,0.0,115.5,115.9499969482422,114.68000030517578,115.7300033569336,12630600.0,59.664791921769954,2.1970145908827448,2.2097631922091656,9.972146,1.98,1.91,2833.28,0.8677600026130676,27.96999931335449,115.87999725341795
2018-08-13,-0.0013898015,115.55999755859376,115.87999725341795,113.81999969482422,113.88999938964844,10336300.0,51.52616280878921,1.8788692764472612,2.1435844090567846,9.972146,1.99,1.91,2821.93,0.8776000142097473,27.700000762939453,115.04000091552734
2018-08-14,-1.0550022e-05,114.2699966430664,115.04000091552734,113.6500015258789,114.6500015258789,10597600.0,54.29909147853365,1.6688254623130945,2.0486326197080467,9.972146,1.99,1.91,2839.96,0.8769999742507935,27.959999084472656,114.33000183105467
2018-08-15,-1.001358e-05,113.81999969482422,114.33000183105467,112.97000122070312,113.6999969482422,10152100.0,50.4166837548825,1.409459425532546,1.9207979808729465,9.972146,1.97,1.91,2818.37,0.8813899755477905,27.739999771118164,115.30999755859376
2018-08-16,0.0,114.3499984741211,115.30999755859376,114.3000030517578,114.7699966430664,10118600.0,54.373688571366095,1.2755463019949218,1.7917476450973415,9.972146,1.97,1.91,2840.69,0.8815000057220459,28.11000061035156,115.06999969482422
2018-08-17,0.0,114.63999938964844,115.06999969482422,114.3000030517578,114.7699966430664,8505100.0,54.373688571366095,1.156092472419914,1.664616610561856,9.972146,1.96,1.91,2850.13,0.8794000148773193,28.170000076293945,115.06999969482422
2018-08-18,1.1086464e-05,114.63999938964844,115.06999969482422,114.3000030517578,114.7699966430664,8505100.0,54.373688571366095,1.156092472419914,1.664616610561856,9.972146,1.96,1.91,2850.13,0.8794000148773193,28.170000076293945,115.06999969482422
2018-08-19,-3.2782555e-06,114.63999938964844,115.06999969482422,114.3000030517578,114.7699966430664,8505100.0,54.373688571366095,1.156092472419914,1.664616610561856,9.972146,1.96,1.91,2850.13,0.8794000148773193,28.170000076293945,115.0500030517578
2018-08-20,2.0086765e-05,114.58999633789062,115.0500030517578,114.11000061035156,114.62000274658205,8618700.0,53.67725356038663,1.0373631216382364,1.5391659127771322,9.972146,1.95,1.91,2857.05,0.8743000030517578,28.26000022888184,116.38999938964844
2018-08-21,-2.9206276e-06,115.37000274658205,116.38999938964844,114.87999725341795,115.31999969482422,10976700.0,56.47881259858074,0.988359960952394,1.429004722412185,9.972146,1.97,1.91,2862.96,0.8702200055122375,28.3700008392334,115.41000366210938
2018-08-22,1.7285347e-06,115.30999755859376,115.41000366210938,114.77999877929688,114.97000122070312,8314700.0,54.69754963825806,0.9107837036651888,1.3253605186627857,9.972146,1.96,1.91,2861.82,0.8637999892234802,28.270000457763672,115.1500015258789
2018-08-23,-1.0311604e-05,114.95999908447266,115.1500015258789,114.43000030517578,114.7300033569336,9265400.0,53.45264078867744,0.8204801545079619,1.2243844458318207,9.972146,1.99,1.91,2856.98,0.8632000088691711,28.13999938964844,115.22000122070312
2018-08-24,0.0,114.9800033569336,115.22000122070312,114.4499969482422,114.68000030517578,8845700.0,53.18105910073292,0.7363904619567165,1.1267856490567998,9.972146,1.99,1.91,2874.69,0.8662999868392944,28.239999771118164,115.22000122070312
2018-08-25,-1.6510487e-05,114.9800033569336,115.22000122070312,114.4499969482422,114.68000030517578,8845700.0,53.18105910073292,0.7363904619567165,1.1267856490567998,9.972146,1.99,1.91,2874.69,0.8662999868392944,28.239999771118164,115.22000122070312
2018-08-26,-2.861023e-06,114.9800033569336,115.22000122070312,114.4499969482422,114.68000030517578,8845700.0,53.18105910073292,0.7363904619567165,1.1267856490567998,9.972146,1.99,1.91,2874.69,0.8662999868392944,28.239999771118164,117.27999877929688
2018-08-27,-8.6426735e-06,115.22000122070312,117.27999877929688,115.16999816894533,116.70999908447266,13768000.0,61.6908322627677,0.8240535346658078,1.0662392261786011,9.972146,2.0,1.91,2896.74,0.8584499955177307,28.6200008392334,117.02999877929688
2018-08-28,3.6239624e-05,117.0,117.02999877929688,115.97000122070312,116.13999938964844,8302600.0,58.47684703450378,0.837874444640903,1.0205662698710616,9.972146,1.99,1.91,2897.52,0.85589998960495,28.59000015258789,116.37000274658205
2018-08-29,-1.9431114e-05,116.3499984741211,116.37000274658205,115.36000061035156,115.76000213623048,7221700.0,56.3684618813092,0.8088411949796068,0.9782212548927708,9.972146,2.0,1.91,2914.04,0.8553400039672852,28.57999992370605,116.04000091552734
2018-08-30,2.6106834e-05,115.58999633789062,116.04000091552734,114.9800033569336,115.19000244140624,8991800.0,53.26607776073454,0.7314067223532419,0.9288583483848648,9.972146,1.99,1.91,2901.13,0.8539900183677673,28.36000061035156,114.83999633789062
2018-08-31,-8.821487e-06,114.83000183105467,114.83999633789062,113.81999969482422,114.58000183105467,13065700.0,50.08890210190248,0.6137425515512263,0.8658351890181372,9.972146,1.98,1.91,2901.52,0.8572900295257568,28.32999992370605,114.83999633789062
2018-09-01,0.0,114.83000183105467,114.83999633789062,113.81999969482422,114.58000183105467,13065700.0,50.08890210190248,0.6137425515512263,0.8658351890181372,9.972146,1.98,1.95,2901.52,0.8572900295257568,28.32999992370605,114.83999633789062
2018-09-02,-4.6491623e-06,114.83000183105467,114.83999633789062,113.81999969482422,114.58000183105467,13065700.0,50.08890210190248,0.6137425515512263,0.8658351890181372,9.972146,1.98,1.95,2901.52,0.8572900295257568,28.32999992370605,114.83999633789062
2018-09-03,1.7940998e-05,114.83000183105467,114.83999633789062,113.81999969482422,114.58000183105467,13065700.0,50.08890210190248,0.6137425515512263,0.8658351890181372,9.972146,1.98,1.95,2901.52,0.8619899749755859,28.32999992370605,115.23999786376952
2018-09-04,0.0,114.33999633789062,115.23999786376952,113.62999725341795,115.1500015258789,10174200.0,52.915091578362,0.5600313671589703,0.8046744246463038,9.972146,1.99,1.95,2896.72,0.8609200119972229,28.46999931335449,115.6999969482422
2018-09-05,1.0550022e-05,115.0,115.6999969482422,114.25,114.58999633789062,11462400.0,49.92409144507724,0.4668950525146016,0.7371185502199633,9.972146,1.98,1.95,2888.6,0.863070011138916,28.489999771118164,114.6999969482422
2018-09-06,-8.404255e-06,114.5,114.6999969482422,113.5,114.0999984741211,9877600.0,47.39946493020403,0.3495161154125838,0.6595980632584875,9.972146,1.97,1.95,2878.05,0.8594599962234497,28.36000061035156,114.7699966430664
2018-09-07,-3.2186508e-06,114.5,114.7699966430664,113.62999725341795,114.31999969482422,10955600.0,48.65492061067184,0.2711194259965737,0.5819023358061047,9.972146,1.98,1.95,2871.68,0.8605800271034241,28.32999992370605,114.7699966430664
2018-09-08,-2.1457672e-06,114.5,114.7699966430664,113.62999725341795,114.31999969482422,10955600.0,48.65492061067184,0.2711194259965737,0.5819023358061047,9.972146,1.98,1.95,2871.68,0.8605800271034241,28.32999992370605,114.7699966430664
2018-09-09,5.066395e-06,114.5,114.7699966430664,113.62999725341795,114.31999969482422,10955600.0,48.65492061067184,0.2711194259965737,0.5819023358061047,9.972146,1.98,1.95,2871.68,0.8605800271034241,28.32999992370605,114.97000122070312
2018-09-10,2.6226044e-06,114.8499984741211,114.97000122070312,113.66000366210938,113.70999908447266,8276900.0,45.41802056277124,0.1579468209161376,0.4971112328281113,9.972146,1.98,1.95,2877.13,0.8649700284004211,28.299999237060547,114.58000183105467
2018-09-11,2.193451e-05,113.54000091552734,114.58000183105467,113.18000030517578,114.43000030517578,9333800.0,49.67384693552667,0.1249148565255495,0.4226719575675989,9.972146,2.01,1.95,2887.89,0.8623700141906738,28.32999992370605,114.87999725341795
2018-09-12,-6.7949295e-06,114.25,114.87999725341795,112.8499984741211,113.08000183105467,10800800.0,42.91693785035053,-0.0100806047533836,0.3361214451034024,9.972146,2.02,1.95,2888.92,0.8623600006103516,28.06999969482422,114.12999725341795
2018-09-13,6.556511e-06,113.37000274658205,114.12999725341795,112.66999816894533,113.5199966430664,12470800.0,45.51812321557567,-0.0806320996148173,0.2527707361597585,9.972146,1.98,1.95,2904.18,0.8598999977111816,28.030000686645508,114.48999786376952
2018-09-14,9.894371e-06,113.80999755859376,114.48999786376952,113.2300033569336,113.5,10337900.0,45.41683122829281,-0.1365837768065461,0.1748998335664975,9.972146,2.0,1.95,2904.98,0.8553000092506409,28.229999542236328,114.48999786376952
2018-09-15,-3.993511e-06,113.80999755859376,114.48999786376952,113.2300033569336,113.5,10337900.0,45.41683122829281,-0.1365837768065461,0.1748998335664975,9.972146,2.0,1.95,2904.98,0.8553000092506409,28.229999542236328,114.48999786376952
2018-09-16,1.0609627e-05,113.80999755859376,114.48999786376952,113.2300033569336,113.5,10337900.0,45.41683122829281,-0.1365837768065461,0.1748998335664975,9.972146,2.0,1.95,2904.98,0.8553000092506409,28.229999542236328,114.43000030517578
2018-09-17,1.859665e-05,113.79000091552734,114.43000030517578,113.3000030517578,113.83999633789062,9561300.0,47.55383982701236,-0.151741835665689,0.1095714997200602,9.972146,1.99,1.95,2888.8,0.8599200248718262,28.11000061035156,114.66000366210938
2018-09-18,5.3048134e-06,114.33000183105467,114.66000366210938,113.55999755859376,114.3000030517578,7944200.0,50.3842026711073,-0.1251928637435355,0.0626186270273411,9.972146,2.01,1.95,2904.31,0.8569599986076355,28.25,118.05999755859376
2018-09-19,-1.0669231e-05,114.44000244140624,118.05999755859376,114.44000244140624,117.62000274658205,16052800.0,65.04592018630511,0.1618775926343687,0.0824704201487466,9.972146,2.02,1.95,2907.95,0.8561699986457825,28.729999542236328,119.23999786376952
2018-09-20,-1.168251e-05,118.5,119.23999786376952,118.08000183105467,118.62999725341795,15590000.0,68.13121086352933,0.4655149468360662,0.1590793254862105,9.972146,2.02,1.95,2930.75,0.8565599918365479,28.979999542236328,119.2300033569336
2018-09-21,2.9444695e-05,119.12999725341795,119.2300033569336,117.73999786376952,117.8499984741211,24788200.0,63.471723890731546,0.63588032232839,0.2544395248546464,9.972146,2.02,1.95,2929.67,0.8491899967193604,28.739999771118164,119.2300033569336
2018-09-22,1.3113022e-05,119.12999725341795,119.2300033569336,117.73999786376952,117.8499984741211,24788200.0,63.471723890731546,0.63588032232839,0.2544395248546464,9.972146,2.02,1.95,2929.67,0.8491899967193604,28.739999771118164,119.2300033569336
2018-09-23,5.018711e-05,119.12999725341795,119.2300033569336,117.73999786376952,117.8499984741211,24788200.0,63.471723890731546,0.63588032232839,0.2544395248546464,9.972146,2.02,1.95,2929.67,0.8491899967193604,28.739999771118164,118.45999908447266
2018-09-24,0.0,117.76000213623048,118.45999908447266,116.43000030517578,116.72000122070312,12492500.0,57.352294347189705,0.6719687379277559,0.3379453674692683,9.972146,2.03,1.95,2919.37,0.8509899973869324,28.420000076293945,117.97000122070312
2018-09-25,4.5895576e-06,117.04000091552734,117.97000122070312,116.31999969482422,116.38999938964844,9308300.0,55.66445068331777,0.6662604418268501,0.4036083823407846,9.972146,2.05,1.95,2915.56,0.850849986076355,28.309999465942383,116.87000274658205
2018-09-26,-8.46386e-06,116.75,116.87000274658205,114.66000366210938,115.0199966430664,14023600.0,49.19204052507134,0.544907450090804,0.4318681958907885,9.972146,2.04,1.95,2905.97,0.8501099944114685,27.96999931335449,115.76000213623048
2018-09-27,-7.8082085e-06,115.41999816894533,115.76000213623048,114.16000366210938,114.5199966430664,13283000.0,47.04218706783552,0.4037345084162211,0.426241458395875,9.972146,2.04,1.95,2914.0,0.851170003414154,27.8700008392334,114.23999786376952
2018-09-28,1.168251e-05,113.6500015258789,114.23999786376952,112.5199966430664,112.83999633789062,15815100.0,40.618786521992725,0.1545108459116733,0.3718953358990347,9.972146,2.03,1.95,2913.98,0.8593000173568726,27.57999992370605,114.23999786376952
2018-09-29,1.23381615e-05,113.6500015258789,114.23999786376952,112.5199966430664,112.83999633789062,15815100.0,40.618786521992725,0.1545108459116733,0.3718953358990347,9.972146,2.03,1.95,2913.98,0.8593000173568726,27.57999992370605,114.23999786376952
2018-09-30,-0.0013898015,113.6500015258789,114.23999786376952,112.5199966430664,112.83999633789062,15815100.0,40.618786521992725,0.1545108459116733,0.3718953358990347,9.972146,2.03,1.95,2913.98,0.8593000173568726,27.57999992370605,114.61000061035156
2018-10-01,-1.6093254e-06,113.37000274658205,114.61000061035156,113.04000091552734,113.5,10146300.0,43.861862812741926,0.0101391990930608,0.2995441085378399,9.972146,2.04,2.19,2924.59,0.8616700172424316,27.690000534057617,114.12000274658205
2018-10-02,1.0311604e-05,113.36000061035156,114.12000274658205,112.80999755859376,113.97000122070312,13753100.0,46.11861649322557,-0.0655950615673504,0.2265162745168018,9.972146,2.03,2.19,2923.43,0.8637400269508362,27.690000534057617,115.66000366210938
2018-10-03,1.1742115e-05,114.94000244140624,115.66000366210938,114.4800033569336,115.04000091552734,17142000.0,50.95266423080096,-0.0388273976934669,0.173447540074748,9.972146,2.07,2.19,2925.51,0.8656700253486633,27.950000762939453,116.80999755859376
2018-10-04,-2.0384789e-05,114.5500030517578,116.80999755859376,114.20999908447266,115.2699966430664,16357400.0,51.95055131921629,0.000934133723021,0.1389448588044027,9.972146,2.06,2.19,2901.61,0.8713600039482117,28.13999938964844,116.0999984741211
